"SK_ID_CURR","TARGET","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","DAYS_BIRTH","DAYS_EMPLOYED","EXT_SOURCE_2","EXT_SOURCE_3"
100101,0,55807.61,117933.04,11693.71,-25073,-14533,0.7902,0.7257
100102,0,22203.01,63590.08,3438.98,-27253,-14219,0.759,0
100103,1,38148.08,144217.9,7305.15,-13666,-1842,0.3494,0.6412
100104,0,30141.32,110031.5,9341.09,-24857,-4467,0.9197,0.662
100105,1,45436.43,126747.04,10676.76,-11681,-11035,0.4166,0.7202
100106,0,43644.27,121076,6968.07,-8417,-2224,0.5711,0.3697
100107,0,26826.22,47413.36,4126.22,-17356,-10403,0.4655,0.618
100108,0,159120.26,324763.21,30021.25,-22874,-10958,0.5255,0.4931
100109,0,96493.82,181417.35,9534.22,-23178,-7801,0.5876,0.3224
100110,1,89642.66,315185.74,17209.43,-16527,-238,0.5738,0.5606
100111,0,19631.33,73906.6,7009.5,-25043,-9014,0.545,0.5241
100112,0,76870.45,206280.87,11554.56,-11027,-62,0.5716,0.3722
100113,0,34528.85,116246.11,7435.76,-23543,-12612,0.4529,0.358
100114,1,46395.14,150361.29,9659.19,-21320,-354,0.4492,0.3968
100115,1,10800.03,38607.58,3046.6,-27597,-12060,0.2178,0.5503
100116,0,37522.92,64447.3,9535.99,-26580,-13335,0.4735,0.4395
100117,0,58886.2,158063.59,16523.48,-24819,-2213,0.4475,0.1796
100118,0,14197.17,54682.87,2945.32,-12211,-3438,1,0.5117
100119,1,43641.33,169617.39,12327.51,-6162,-13176,0.2776,0.3766
100120,0,33935.29,62184.3,7711.13,-16439,-1445,0.5775,0.6022
100121,1,122678.56,390693.67,26765.37,-28065,-14024,0.2513,0.2082
100122,0,41237.33,133951.84,10098.64,-6982,-9576,0.2559,0.0683
100123,1,35886.79,106697.42,5922,-25929,-10395,0.5749,0.3505
100124,0,52487.8,193900.48,18111.82,-16795,-12869,0.3507,0.3226
100125,0,26073.94,95664.09,7531.33,-12588,-59,0.5496,0.5852
100126,1,54964.15,135858.78,12101.42,-16299,-9487,0.4643,0.0761
100127,0,52274.06,109273.71,11053.8,-27725,-13856,0.4273,0.2363
100128,1,14848.44,36204.24,3997.5,-10270,-14625,0.1451,0.4248
100129,0,38149.39,112989.46,12448.93,-6360,-1047,0.3051,0.3027
100130,1,32472.89,118556.63,17928.76,-17103,-6995,0.5859,0.4118
100131,0,34429.49,124558.24,8232.9,-17812,-14152,0.6635,0.2103
100132,0,30885.47,75038.61,4239.7,-6877,-574,0.4514,0.2851
100133,1,91879.84,355917.8,30780.13,-28825,-6948,0.55,0.2661
100134,1,31667.3,88344.72,11144.56,-17531,-5988,0.7746,0.1012
100135,0,62217.76,234592.36,15149.21,-23527,-3076,0.838,0.5266
100136,1,82538.36,189769.19,25086.61,-23658,-8351,0.3306,0.3418
100137,1,30837.56,61894.98,5704.75,-22434,-745,0.5265,0.3388
100138,0,40022.94,81852.4,5127.75,-23261,-13724,0.7903,0.6718
100139,1,14061.5,29866.51,2741.62,-5714,-12412,0.4561,0.5835
100140,1,52675.84,137945.32,11629.35,-11913,-13258,0.5395,0.3113
100141,1,25635.99,61092.03,8020.78,-7556,-5408,0.5328,0.626
100142,1,71657.45,162622.17,14295.02,-20113,-147,0.3725,0.3742
100143,1,52437.48,140379.09,9148.92,-9805,-6534,0.4611,0.3638
100144,0,60282.1,186522.95,10529.27,-9355,-10134,0.5441,0.4833
100145,1,71518.04,180808.06,10643.36,-12103,-8244,0.4672,0.4781
100146,0,41932.89,86001.98,4380.78,-16542,-1056,0.7727,0.4285
100147,0,49234.46,179249,20975.49,-28770,-5797,0.4538,0.3996
100148,0,60847.2,159656.43,18502.47,-29992,-11002,0.4634,0.53
100149,0,37993.9,115720.95,5848.03,-16099,-1779,0.6894,0.6488
100150,0,32651.51,78822.77,12530.58,-27056,-603,0.3387,0.3712
100151,0,70407.23,207740.12,15272.13,-11233,-125,0.5419,0.7404
100152,0,45039.4,149525.24,10208.68,-22592,-13912,0.2397,0.283
100153,0,66895.37,124597.09,18889.8,-16163,-12040,0.7834,0.8503
100154,0,54609.37,138529.26,7492.22,-27939,-11933,0.4953,0.6141
100155,0,34587.95,92497.66,5831.95,-27390,-12402,0.4564,0.3777
100156,1,41645.31,126022.72,6742.61,-8123,-4547,0.3023,0.0249
100157,0,53749.94,117580.1,7883.82,-21262,-5812,0.5484,0.3704
100158,0,42132.64,167042.19,16123.94,-13293,-1320,0.3899,0.3805
100159,0,33071.03,53112.26,4587.57,-13928,-3928,0.4433,0.739
100160,1,18167.17,43502.25,3321.66,-7405,-14392,0.8075,0.5252
100161,0,71370.55,221329.78,14169.2,-5347,-12676,0.5149,0.0858
100162,1,27516.58,88336.37,13202.58,-18703,-3804,0.3356,0.5045
100163,0,35051.46,78937.3,4987.21,-24007,-3344,0.5826,0.2614
100164,1,36850.93,146629.68,23539.81,-11044,-8947,0.4775,0.1098
100165,0,55892.57,220840.68,13363.97,-14053,-10759,0.668,0.6338
100166,0,42134.68,93424.12,5423.83,-25719,-9007,0.8365,0.5703
100167,0,36166.14,82112.37,10076.91,-19955,-1306,0.3515,0.37
100168,0,29117.92,77620.8,5390.26,-6725,-14977,0.6409,0.7375
100169,1,66400.78,212501.19,12259.27,-16153,-12246,0.567,0.3876
100170,0,46791.5,106981.91,10907.54,-18049,-9986,0.7291,0.1129
100171,0,174165.37,665858.49,66167.59,-15297,-9255,0.504,0.6322
100172,0,14678.32,28981.07,2201.78,-11705,-1070,0.7173,0.315
100173,0,107591.14,358825.56,38372.7,-21839,-7483,0.201,0.4775
100174,0,27960.57,95578.68,7689.23,-28566,-7059,0.8879,0.2654
100175,1,38337.32,79293.06,4194.81,-19909,-6126,0.723,0.1891
100176,0,66015.27,116430.9,10261.32,-25174,-9945,0.5198,0.5383
100177,1,62995.44,103008.32,15774.98,-17656,-13201,0.2602,0.2703
100178,0,51792.42,102374.29,13736.48,-19300,-4637,0.6786,0.3417
100179,0,35788.97,122762.6,7137.91,-29067,-13207,0.6466,0.5948
100180,1,31413.89,94615.08,8563.46,-5034,-8604,0.5487,0
100181,1,205595.41,419489.32,64287.46,-9099,-13547,0.5803,0.2626
100182,1,8480.26,15671.76,789.41,-28915,-14910,0.4332,0.7559
100183,0,54598.68,124280.31,7586.52,-22260,-14873,0.6238,0.4489
100184,0,55901.39,124750.97,10017.83,-11979,-13309,0.6089,0.1134
100185,0,42681.25,117536.21,7262.57,-21068,-3866,0.4941,0.4401
100186,0,48472.26,80777,4659.05,-23837,-11098,0.2828,0.4591
100187,1,55293.76,142670.47,13192.14,-11302,-2552,0.6901,0.2948
100188,0,52972.55,135905.7,10323.95,-24792,-6009,0.6608,0.3129
100189,1,56912.71,209043.21,28540.53,-6253,-14713,0.3827,0.4422
100190,1,124829.28,395868.88,28220.96,-12936,-2306,0.2311,0.6179
100191,0,22146.11,42750.73,3720.58,-21624,-8607,0.591,0.2817
100192,0,42305.37,78316.79,11236.96,-16807,-4317,0.481,0.5932
100193,0,36985.76,111130.3,7544.91,-23654,-13482,0.6005,0.0765
100194,1,48117.49,161605.43,8545.54,-28274,-6144,0.2912,0.8482
100195,0,43151.86,156654.66,7889.2,-24139,-8882,0.3582,0.6042
100196,0,23995.71,77590.73,9549.18,-22904,-13839,0.7672,0.3255
100197,0,36192.76,115475.59,12907.07,-19849,-1313,0.6308,0.4293
100198,1,51021.56,106162.97,15310.56,-29937,-1961,0.6673,0.2035
100199,0,42709.59,105584.17,6611.85,-21096,-12922,0.913,0.2634
100200,0,61857.22,136400.52,7389.77,-12061,-11363,0.5758,0.5095
100201,1,66016.52,150169.25,19294.74,-17148,-10875,0.1498,0.0371
100202,0,33742.43,69717.9,9443.63,-12130,-558,0.6168,0.5854
100203,0,27299.01,70377.45,11172.21,-14588,-1743,0.7843,0.6173
100204,0,35021.87,122798.73,7484.9,-12690,-2671,0.9619,0.4744
100205,0,38677.98,76992.85,9318.69,-24247,-4881,0.2746,0.2924
100206,1,21517.46,68851.82,3893.48,-17813,-2139,0.3198,0.5767
100207,0,20481.68,81469.01,4361.52,-21644,-5585,0.4088,0.4093
100208,0,24001.64,62244.5,3199.75,-17396,-10712,0.3392,0.8052
100209,0,79104.23,172811.43,14554.64,-29464,-7671,0.4209,0.5507
100210,0,64199.27,142624.07,7607.05,-8665,-7085,0.5129,0.822
100211,1,72910.32,173989.6,10341.76,-15002,-4367,0.3098,0.3281
100212,0,35245.56,92364.11,6636.23,-17984,-7414,0.9574,0.6806
100213,0,25341.59,72779.22,10501.71,-7631,-4412,0.5716,0.6439
100214,0,49242.44,162953.69,8948.18,-7791,-13731,0.5332,0.5775
100215,0,86276.29,132796.54,9369.29,-12929,-8768,0.6491,0.8044
100216,1,38847.2,117568.52,7803.58,-25555,-58,0.5575,0.6857
100217,0,53502.81,166634.9,16035.49,-20349,-8035,0.5236,0.6701
100218,0,51322.56,109025.25,8615.59,-18546,-3328,0.8454,0.7254
100219,0,72027.11,264997.21,20475.89,-24308,-194,0.5066,0.3065
100220,0,37755.25,57816.58,7629.13,-8593,-11957,0.2933,0.5877
100221,1,51916.52,206759.76,11672.14,-18540,-3023,0.6271,0.7036
100222,1,33027.32,79446.11,4991.32,-29567,-4142,0.4797,0.0756
100223,0,59461.38,95870.79,14739.46,-21450,-5498,0.4456,0.6996
100224,1,29357.73,113905.42,6998.99,-27146,-12318,0.3364,0.2345
100225,1,47157.44,170592.48,10948.66,-20461,-10413,0.6357,0.1552
100226,0,87336.16,228677.17,33027.25,-28005,-10608,0.5152,0.4294
100227,1,41235.38,119604.73,6907.14,-25210,-10535,0.6531,0.107
100228,0,145873.74,519126.73,27935,-23414,-13888,0.5031,0.2951
100229,0,37377.97,144902.05,9979.13,-29284,-5118,0.4183,0.6195
100230,0,59290.48,192061.99,10958.1,-24525,-5007,0.8,0.4666
100231,0,21761.83,57137.65,3400.89,-27128,-3133,0.4956,0.707
100232,1,41406.84,129611.13,8523.19,-21084,-8465,0.7396,0.5052
100233,0,20931.34,81244.21,4116.19,-22274,-4992,0.3097,0.1078
100234,0,29363.21,74935.6,4684.01,-18382,-11,0.4568,0.2201
100235,0,22568.68,34083.57,2234.48,-20713,-6889,0.4961,0.482
100236,1,17287.74,67286.06,5267.12,-29490,-9685,0.4718,0.3646
100237,0,36899.43,71618.83,6885.8,-8747,-5994,0.8197,0.6314
100238,1,16148.21,39408.42,2456.91,-15908,-3159,0.5454,0.4802
100239,0,37735.83,136585.1,8709.71,-23375,-6581,0.5988,0.2281
100240,0,77992.83,271932.42,44244.88,-19132,-12330,0.3615,0.3402
100241,0,48882.63,175969.64,15332.25,-7060,-6579,0.4042,0.6538
100242,1,25973.94,43257,2825.33,-13227,-523,0.7496,0.2609
100243,0,25967.03,61536.39,4651.48,-12741,-159,0.8017,0.1499
100244,1,67233.24,250585.28,18615.25,-14484,-13967,0.7998,0.563
100245,0,15491.08,38926.95,6423.3,-29513,-13930,0.2739,0.4865
100246,1,42720.89,88552.66,4491.51,-17090,-10423,0.96,0.2907
100247,1,19190.21,50653.74,5399.49,-12703,-1481,0.7534,0.4408
100248,0,46939,125191.15,7391.66,-25586,-1735,0.5447,0.4807
100249,0,17980.41,69648.47,4658.13,-22469,-1695,0.6907,0.2967
100250,1,53695.98,158069.92,8754.84,-23001,-7270,0.3557,0.523
100251,0,23958.68,41434.78,2142.56,-22668,-5913,0.3308,0.3113
100252,0,55422.05,183407.19,12142.21,-28378,-14222,0.5598,0.3814
100253,0,87369.3,234495.52,24243.08,-13096,-11292,0.3103,0.5986
100254,0,18791.33,31450.37,1617.24,-15748,-12986,0.588,0.3929
100255,0,27791.37,70778.99,4206.21,-11597,-5619,0.8095,0.116
100256,1,23308.48,71574.51,4462.35,-6587,-13542,0.3432,0.3971
100257,1,48960.89,190019.11,13432.86,-25321,-11108,0.4023,0.11
100258,1,75716.35,178187.27,17136.36,-18430,-4468,0.5593,0.3446
100259,0,48444.5,139916.48,12440.79,-29205,-5104,0.3465,0.3226
100260,0,272343.52,569731.89,43283.58,-16790,-10818,0.4733,1
100261,0,41956.13,117179.49,9488.54,-19263,-6359,0.7246,0.5482
100262,0,48227.85,168499.8,12855.63,-14611,-1065,0.7439,0.5384
100263,0,40834.8,90040.75,5591.61,-9891,-2911,0.6268,0.49
100264,0,62261.58,195913.91,13261.08,-26839,-2914,0.1797,0.3442
100265,1,40968.91,66631.7,3476,-17475,-4645,0.5392,0
100266,0,38663.63,135993.85,13647.66,-9529,-1425,0.763,0.8125
100267,1,33852.03,95128.37,7381.57,-5359,-506,0.7126,0.3467
100268,0,28819.28,110792.64,8169.62,-20991,-1848,0.5118,0.2776
100269,1,92750.09,198899.32,10778.7,-10785,-5637,0.01,0.324
100270,0,62293.36,216417.67,21938.01,-10411,-3631,0.5622,0.665
100271,0,94048.74,153518.86,10707,-26887,-410,0.6648,0.5991
100272,0,33637.77,59751.04,8219.95,-29235,-7557,0.5592,0.7143
100273,0,52131.51,140470.87,8899.21,-6811,-8469,0.5815,0.5059
100274,0,54488.8,110541.28,6323.15,-21562,-318,0.6363,0.427
100275,0,18034.2,41931.28,5415.01,-18288,-14962,0.4707,0.4
100276,1,76146.47,207574.03,11380.52,-14008,-7084,0.812,0.1386
100277,0,45704.15,124679.82,11704.77,-29548,-428,0.6441,0.5019
100278,0,58224.94,197739.8,13869.43,-13259,-12148,0.3015,0.3825
100279,1,63089.12,189309.33,14383.01,-8407,-1272,0.8263,0.3734
100280,1,49015.89,116837.26,11961.74,-19901,-2497,0.7909,0.6605
100281,0,20012.03,62384.36,3222.33,-11681,-5767,0.7148,0.6922
100282,0,64237.62,210343.62,11008.04,-24181,-13009,0.2175,0.9407
100283,0,64976.35,158064.99,17893.71,-16162,-2796,0.4361,0.543
100284,0,40037.51,66631.55,5733.03,-22736,-6050,0.6771,0.431
100285,1,67031.14,243943.34,18048.92,-26750,-8899,0.5587,0.2683
100286,0,45467.82,137897.08,17394.92,-17745,-14232,0.6196,0.4433
100287,0,17720.15,70420.48,4567.53,-12776,-14398,1,0.7941
100288,1,62785.39,118412.71,19393.95,-24001,-3222,0.3863,0.4027
100289,0,53085.92,107842.71,6975.53,-9184,-13550,0.1274,0.7917
100290,0,80882.17,195249.43,9851.6,-26017,-1077,0.6047,0.4054
100291,0,22803.37,65308.66,5332.28,-14846,-3718,0.4125,0.4921
100292,0,29599.62,111386.86,6261.04,-29142,-4977,0.6392,0.9462
100293,0,21399.32,80804.63,5858.45,-12140,-13258,0.3875,0.4554
100294,1,29576.62,51840.6,4386.01,-6580,-373,0.9924,0.1595
100295,1,63207.02,233019.31,36550.16,-20797,-12038,0.5253,0.3153
100296,1,70852.26,134076.18,7713.52,-17190,-7453,0.4545,0.2386
100297,1,37852.87,132720.95,11875.65,-16167,-10661,0.5167,0.468
100298,0,31198.18,117684.61,7192.74,-24848,-471,0.7225,0.3355
100299,0,24155.63,41538.15,5312.74,-15184,-2827,0.5695,0.5256
100300,1,121616.7,300742.71,22812.63,-6994,-567,0.2249,0.7748
100301,1,75975.29,197883.48,17638.67,-7939,-11926,0.5491,0.2547
100302,0,24150.75,38190.06,2831.7,-10647,-12817,0.702,0.2483
100303,0,48115.72,98804.28,7027.83,-28956,-11313,0.5578,0.3987
100304,0,39044.9,99037.96,9669.42,-19790,-7147,0.697,0.6266
100305,1,44875.11,68708.5,3979.17,-9387,-13637,0.5207,0.5252
100306,1,54234.52,127413.2,10952.01,-20767,-9757,0.5384,0.4709
100307,0,147686.75,225491.28,13152.37,-5856,-3139,0.6465,0.7643
100308,0,80054.13,290350.83,27670.44,-9392,-12243,0.7486,0.3963
100309,1,55170.3,202513.6,15858.53,-12322,-6905,0.3007,0.8197
100310,0,26567.4,66333.55,10134.4,-18322,-13845,0.5433,0.1479
100311,1,105663.68,408201.37,42637.62,-8802,-3187,0.5358,0.5062
100312,0,62813.27,243087.47,17035.78,-8974,-4136,0.3982,0.6309
100313,0,52555.18,124604.38,9751.82,-27651,-643,0.3431,0.6777
100314,1,36555.45,64388.87,3372.46,-6009,-2287,0.4239,0.1595
100315,0,19603.15,30509.52,4496.05,-16422,-5662,0.6674,0.3247
100316,0,73121.69,261349.52,42521.02,-13498,-13344,0.4667,0.0636
100317,1,40936.3,155342.6,13212.05,-10261,-10270,0.393,0.4022
100318,0,82642.74,136489.84,9067.44,-12817,-9909,0.5827,0.3499
100319,1,80454.49,152633.36,15318.83,-20317,-9821,0.3027,0.6475
100320,0,42745.3,97603.74,5809.36,-16080,-5519,0.7592,0.5331
100321,1,34746.34,100719.01,8899.85,-21168,-939,0.4531,0.3908
100322,0,97324.66,234047.94,19100.51,-8636,-10200,0.5878,0.7224
100323,0,62033.72,224508.93,18032.09,-26140,-13525,0.5602,0.4211
100324,0,50071.92,89803.76,10594.66,-16496,-996,0.55,0.7131
100325,0,90601.15,238095.06,28380.89,-11952,-12324,0.9119,0.5833
100326,0,131471.24,352874.86,26871.5,-9820,-7984,0.3849,0.5823
100327,0,20319.47,78386.84,8868.56,-7803,-3517,0.7791,0.6313
100328,0,54314.08,129837.04,6812.19,-25252,-9476,0.5563,0.3259
100329,1,79835.4,157456.49,22064.13,-25931,-10754,0.383,0.1677
100330,0,31038.58,118812.28,5977.63,-22980,-5054,0.5362,0.612
100331,0,33303.6,58566.68,3359.71,-18025,-588,0.6994,0.1898
100332,1,21384.03,40271.35,2093.91,-23349,-3503,0.4649,0.2693
100333,0,42713.04,143920.79,7685.6,-14362,-2706,0.3956,0.4063
100334,0,31148.9,119520.35,11878.17,-20025,-11305,0.5806,0.5629
100335,0,23138.68,45328.62,5553.22,-20631,-12006,0.7477,0.5719
100336,0,114918.53,296723.97,15379.05,-6739,-12569,0.5353,0.0828
100337,1,22815.58,76903.38,7050.46,-17036,-5015,0.2726,0.4988
100338,1,45675.56,146555.78,11409.98,-5807,-9966,0.2887,0.0957
100339,0,46641.08,119893.46,6559.95,-12847,-3239,0.3963,0.9001
100340,1,60236.49,232917.15,21059.39,-13567,-1130,0.4446,0.2614
100341,0,24077.34,75128.61,4470.81,-12555,-8578,0.5457,0.7874
100342,0,52947.28,106980.83,6129.75,-22455,-3117,0.6841,0.3822
100343,1,159615.46,245879.07,14284.58,-15491,-2444,0.4631,0.5741
100344,0,100575.39,233233.91,18158.49,-16878,-9551,0.3272,0.2895
100345,0,29790.5,95911.09,8947.06,-14044,-669,0.6714,0.4733
100346,0,37966.38,83071.74,11314,-7536,-12576,0.6051,0.5716
100347,0,52311.39,103038.51,5231.07,-18838,-8462,0.7815,0.7556
100348,0,65920.8,231105.87,32454.29,-10840,-3824,0.2135,0.3246
100349,1,55656.53,96246.71,13157.14,-26144,-6281,0.5675,0.1371
100350,0,39763.77,117167.46,9133.09,-25497,-7392,0.8207,0.2049
100351,1,68330.5,208690.01,14433.68,-9404,-6324,0.6948,0.4752
100352,0,32795.9,67421.1,6936.82,-19333,-5481,0.3835,0.5019
100353,0,47467.39,154722.29,12592.23,-26557,-11652,0.6965,0.3949
100354,1,53105.27,183414.91,11326.71,-28179,-3047,0.3756,0.46
100355,1,46077.44,148164.38,7845.23,-21920,-5382,0.4593,0.3879
100356,0,70888.01,193529.93,22810.92,-17399,-12882,0.7875,0.3657
100357,0,29488.07,64563.09,9354.87,-9797,-5822,0.492,0.8992
100358,1,31769.4,60645.2,5014.83,-20176,-14901,0.7157,0.4673
100359,0,51065.21,136492.7,11054.61,-14139,-1129,0.4918,0.6947
100360,0,34479.64,110616.84,8481.68,-27264,-9488,0.2347,0.9736
100361,1,62149.07,212539.73,30078.23,-26615,-454,0.3802,0.1849
100362,1,22516.07,37321.4,4242.38,-18759,-1313,0.3323,0.4224
100363,0,37516.68,79089.48,9012.99,-27903,-4808,0.4531,0.4495
100364,0,15755.71,52571.57,8620.82,-16318,-1160,0.4827,0.6912
100365,0,124410.46,488763.8,71035.06,-20313,-1384,0.5193,0.3843
100366,1,51942.75,112665.22,6030.36,-14031,-2638,0.5014,0.5129
100367,0,49347.53,163547.36,8227.36,-15639,-7958,0.9284,0.4863
